label,n_observations,run,shared_all_local_log_likelihood,local_all_local_log_likelihood,invalid_shared_k,valid_shared_all_local_k,local_k,invalid_shared_bic,local_bic,invalid_shared_bic_weight
INVALID: all-local optimization with shared-model penalty,2,90,1.9613995552062988,1.2435734272003174,3,4,4,-1.843357568732762,0.2854418678391464,0.7435304390151475
INVALID: all-local optimization with shared-model penalty,2,91,1.0891826152801514,0.3019235134124756,3,4,4,-0.09892368888046699,2.16874169541483,0.7565455151155821
INVALID: all-local optimization with shared-model penalty,2,92,2.0309598445892334,2.737544059753418,3,4,4,-1.982478147498631,-2.702499397267055,0.41095699395891044
INVALID: all-local optimization with shared-model penalty,2,93,1.616023302078247,0.9352259635925293,3,4,4,-1.1526050624766584,0.9021367950547226,0.7364058781563783
INVALID: all-local optimization with shared-model penalty,2,94,1.4431772232055664,0.8282930850982666,3,4,4,-0.8069129047312971,1.116002552043248,0.7234135716843619
INVALID: all-local optimization with shared-model penalty,2,95,0.7913873195648193,0.017607450485229492,3,4,4,0.4966669025501971,2.737373821269322,0.7540542736447373
INVALID: all-local optimization with shared-model penalty,2,96,0.918365478515625,-0.16604232788085938,3,4,4,0.24271058464858575,3.1046733780015,0.8070541826813349
INVALID: all-local optimization with shared-model penalty,2,97,1.4933295249938965,0.8963079452514648,3,4,4,-0.9072175083079572,0.9799728317368515,0.7198252926430188
INVALID: all-local optimization with shared-model penalty,2,98,1.5414185523986816,0.9615516662597656,3,4,4,-1.0033955631175275,0.8494853897202499,0.7163525776651766
INVALID: all-local optimization with shared-model penalty,2,99,1.9476063251495361,1.5443313121795654,3,4,4,-1.8157711086192365,-0.3160739021193497,0.6791457096866386
INVALID: all-local optimization with shared-model penalty,5,0,3.655801296234131,1.3639975786209106,6,10,10,2.3450248821363395,13.366383967099182,0.9959729240974895
INVALID: all-local optimization with shared-model penalty,5,1,4.442690372467041,3.4091029167175293,6,10,10,0.7712467296705192,9.276173290905945,0.985970487562863
INVALID: all-local optimization with shared-model penalty,5,2,0.13329637050628662,-2.1607062816619873,6,10,10,9.390034733592028,20.415791687664978,0.9959817341011318
INVALID: all-local optimization with shared-model penalty,5,3,4.620415687561035,3.2958312034606934,6,10,10,0.41579609948253093,9.502716717419617,0.9894754081162419
INVALID: all-local optimization with shared-model penalty,5,4,4.815561294555664,3.1821322441101074,6,10,10,0.02550488549327312,9.730114636120788,0.9922501739983995
INVALID: all-local optimization with shared-model penalty,5,5,3.1470422744750977,1.1232258081436157,6,10,10,3.362542925654406,13.847927508053772,0.9947417887441797
INVALID: all-local optimization with shared-model penalty,5,6,4.727331638336182,2.832207202911377,6,10,10,0.20196419793223797,10.42996471851825,0.9940239427168774
INVALID: all-local optimization with shared-model penalty,5,7,3.7468643188476562,2.0496668815612793,6,10,10,2.1628988369092887,11.995045361218445,0.9927254577792136
INVALID: all-local optimization with shared-model penalty,5,8,2.8296642303466797,1.1872717142105103,6,10,10,3.997299013911242,13.719835695919983,0.9923187977082649
INVALID: all-local optimization with shared-model penalty,5,9,3.93745756149292,2.271970272064209,6,10,10,1.7817123516187614,11.550438580212585,0.992492844080594
INVALID: all-local optimization with shared-model penalty,5,10,4.068716526031494,2.4482760429382324,6,10,10,1.519194422541613,11.197827038464538,0.9921496536761758
INVALID: all-local optimization with shared-model penalty,5,11,4.994699954986572,3.647688865661621,6,10,10,-0.3327724353685433,8.799001393017761,0.9897064094092407
INVALID: all-local optimization with shared-model penalty,5,12,2.7988786697387695,0.9272702932357788,6,10,10,4.058870135127062,14.239838537869446,0.9938826138623098
INVALID: all-local optimization with shared-model penalty,5,13,4.000880718231201,2.546018123626709,6,10,10,1.654866038142199,11.002342877087585,0.990749081118447
INVALID: all-local optimization with shared-model penalty,5,14,4.044863224029541,2.814398765563965,6,10,10,1.5669010265455192,10.465581593213074,0.9884487173965897
INVALID: all-local optimization with shared-model penalty,5,15,3.0388941764831543,1.3088237047195435,6,10,10,3.5788391216382927,13.476731714901916,0.992959049834692
INVALID: all-local optimization with shared-model penalty,5,16,4.092545986175537,2.7900032997131348,6,10,10,1.471535502253527,10.514372524914734,0.9892433747010076
INVALID: all-local optimization with shared-model penalty,5,17,5.1363630294799805,4.17484712600708,6,10,10,-0.6160985843553597,7.744684872326843,0.9849378227041368
INVALID: all-local optimization with shared-model penalty,5,18,2.51576566696167,0.610298752784729,6,10,10,4.625096140681261,14.873781618771545,0.9940850677396929
INVALID: all-local optimization with shared-model penalty,5,19,2.9562010765075684,1.0228861570358276,6,10,10,3.7442253215894645,14.048606810269348,0.9942465797748579
INVALID: all-local optimization with shared-model penalty,5,20,1.036033034324646,-0.8002711534500122,6,10,10,7.584561405955309,17.694921431241028,0.9936641797177624
INVALID: all-local optimization with shared-model penalty,5,21,4.007035255432129,2.022434711456299,6,10,10,1.6425569637403434,12.049509701428406,0.9945326362914496
