training_scheme,variant,model_seed,observation,repeat,timesteps,posterior_width_ratio,empirical_rms_width,analytic_rms_width
mixture,dpm2_log,1,0,1,50,1.392848014831543,0.48346972465515137,0.34710875153541565
mixture,sigma_log_dpm,1,1,0,50,1.6070928573608398,0.5578359961509705,0.34710875153541565
mixture,sigma_log_dpm,1,1,1,50,1.6090888977050781,0.5585288405418396,0.34710875153541565
mixture,dpm2_log,1,1,0,50,1.3727986812591553,0.4765104353427887,0.34710875153541565
mixture,dpm2_log,1,1,1,50,1.395870327949524,0.48451879620552063,0.34710875153541565
mixture,sigma_log_dpm,1,2,0,50,1.485743522644043,0.5157145857810974,0.34710875153541565
mixture,sigma_log_dpm,1,2,1,50,1.4720429182052612,0.5109589695930481,0.34710875153541565
mixture,dpm2_log,1,2,0,50,1.3475433588027954,0.4677441120147705,0.34710875153541565
mixture,dpm2_log,1,2,1,50,1.3363163471221924,0.4638471007347107,0.34710875153541565
mixture,sigma_log_dpm,1,3,0,50,1.6838818788528442,0.5844901204109192,0.34710875153541565
mixture,sigma_log_dpm,1,3,1,50,1.7001005411148071,0.5901197791099548,0.34710875153541565
mixture,dpm2_log,1,3,0,50,1.458316683769226,0.5061944723129272,0.34710875153541565
mixture,dpm2_log,1,3,1,50,1.4666523933410645,0.509087860584259,0.34710875153541565
mixture,sigma_log_dpm,2,0,0,50,1.5714261531829834,0.5454557538032532,0.34710875153541565
mixture,sigma_log_dpm,2,0,1,50,1.4794102907180786,0.5135162472724915,0.34710875153541565
mixture,dpm2_log,2,0,0,50,1.3532353639602661,0.46971985697746277,0.34710875153541565
mixture,dpm2_log,2,0,1,50,1.3360583782196045,0.46375754475593567,0.34710875153541565
mixture,sigma_log_dpm,2,1,0,50,1.507331132888794,0.5232078433036804,0.34710875153541565
mixture,sigma_log_dpm,2,1,1,50,1.505710482597351,0.5226452946662903,0.34710875153541565
mixture,dpm2_log,2,1,0,50,1.2994471788406372,0.45104947686195374,0.34710875153541565
mixture,dpm2_log,2,1,1,50,1.3186546564102173,0.45771658420562744,0.34710875153541565
mixture,sigma_log_dpm,2,2,0,50,1.438174843788147,0.499203085899353,0.34710875153541565
mixture,sigma_log_dpm,2,2,1,50,1.4261469841003418,0.4950281083583832,0.34710875153541565
mixture,dpm2_log,2,2,0,50,1.3218432664871216,0.4588233530521393,0.34710875153541565
mixture,dpm2_log,2,2,1,50,1.3054988384246826,0.45315006375312805,0.34710875153541565
mixture,sigma_log_dpm,2,3,0,50,1.6128755807876587,0.5598432421684265,0.34710875153541565
mixture,sigma_log_dpm,2,3,1,50,1.6248403787612915,0.5639963150024414,0.34710875153541565
mixture,dpm2_log,2,3,0,50,1.433899164199829,0.4977189302444458,0.34710875153541565
mixture,dpm2_log,2,3,1,50,1.455894112586975,0.505353569984436,0.34710875153541565
