variant,n_observations,repeat,mean_error_sigma,std_ratio,runtime_seconds,prior_std,likelihood_std
DPM + uncorrected,5,2,0.0218239426612854,0.8759512305259705,0.3992763590067625,1.0,1.0
DPM + Gaussian,5,2,0.015838563442230225,1.0170748233795166,0.46411251998506486,1.0,1.0
Langevin + Gaussian,5,2,0.03136688098311424,1.012975811958313,0.7122880859533325,1.0,1.0
Langevin + uncorrected,5,2,0.012608122080564499,1.0435516834259033,0.6152872110251337,1.0,1.0
Langevin + F-NPSE,5,2,0.04718836396932602,1.0695042610168457,0.9611829629866406,1.0,1.0
DPM + uncorrected,10,0,0.5160590410232544,0.8707598447799683,0.3944828410167247,1.0,1.0
DPM + Gaussian,10,0,0.01802169904112816,1.0050346851348877,0.4660109509713948,1.0,1.0
Langevin + Gaussian,10,0,0.005972811486572027,1.0120729207992554,0.7207153979688883,1.0,1.0
Langevin + uncorrected,10,0,0.12677359580993652,1.0209553241729736,0.6178845419781283,1.0,1.0
Langevin + F-NPSE,10,0,0.04017869383096695,1.086925745010376,0.9741950919851661,1.0,1.0
DPM + uncorrected,10,1,0.2570137679576874,0.8640373945236206,0.3931873720139265,1.0,1.0
DPM + Gaussian,10,1,0.01193696353584528,1.016674280166626,0.46878732403274626,1.0,1.0
Langevin + Gaussian,10,1,0.049388591200113297,1.00613272190094,0.7221262190723792,1.0,1.0
Langevin + uncorrected,10,1,0.09198185056447983,1.0336248874664307,0.6204463089816272,1.0,1.0
Langevin + F-NPSE,10,1,0.04967547580599785,1.0698872804641724,0.969556133961305,1.0,1.0
DPM + uncorrected,10,2,0.16958551108837128,0.8661221265792847,0.3965220869285986,1.0,1.0
DPM + Gaussian,10,2,0.02420780621469021,1.0213491916656494,0.46908972796518356,1.0,1.0
Langevin + Gaussian,10,2,0.04830184578895569,1.0137722492218018,0.7196343730902299,1.0,1.0
Langevin + uncorrected,10,2,0.06496521085500717,1.031524896621704,0.6176917180418968,1.0,1.0
Langevin + F-NPSE,10,2,0.0460921935737133,1.0771523714065552,0.9726619159337133,1.0,1.0
DPM + uncorrected,25,0,0.051026757806539536,0.8843661546707153,0.4002399160526693,1.0,1.0
DPM + Gaussian,25,0,0.018850550055503845,1.0039727687835693,0.46513500600121915,1.0,1.0
Langevin + Gaussian,25,0,0.022937312722206116,1.0262572765350342,0.7231383529724553,1.0,1.0
Langevin + uncorrected,25,0,0.03310718387365341,1.0199393033981323,0.6148775860201567,1.0,1.0
Langevin + F-NPSE,25,0,0.05195816606283188,1.0928335189819336,0.9768453099532053,1.0,1.0
