method,sde,time_grid,timesteps,theta_index,theta_true,theta_mode,analytic_log_prob,method_log_prob,absolute_log_prob_error,median_runtime_seconds
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,5,-2.7104778,-2.419225,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,6,-2.1987514,-2.1505857,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,7,-1.9966652,-2.1117482,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,8,-2.7305539,-2.3484304,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,9,-2.0067704,-2.2441282,0.4312535718092801,0.43071460189872246,0.0005389699105576296,0.011954648001119495
Euler PF-ODE + KDE,VESDE,uniform_t,200,0,-2.0590172,-2.1671157,0.4312535718092801,0.4739981954773572,0.04274462366807713,0.025885574996937066
Euler PF-ODE + KDE,VESDE,uniform_t,200,1,-2.24755,-2.1222744,0.4312535718092801,0.46835189834693897,0.03709832653765888,0.025885574996937066
Euler PF-ODE + KDE,VESDE,uniform_t,200,2,-2.2733066,-2.4073713,0.4312535718092801,0.43980363458003674,0.00855006277075665,0.025885574996937066
Euler PF-ODE + KDE,VESDE,uniform_t,200,3,-2.4841154,-2.3091683,0.4312535718092801,0.5072346512671124,0.07598107945783233,0.025885574996937066
Euler PF-ODE + KDE,VESDE,uniform_t,200,4,-2.2861452,-2.2408478,0.4312535718092801,0.4576832741298198,0.026429702320539705,0.025885574996937066
Euler PF-ODE + KDE,VESDE,uniform_t,200,5,-2.7104778,-2.419225,0.4312535718092801,0.48111263241533303,0.04985906060605294,0.025885574996937066
Euler PF-ODE + KDE,VESDE,uniform_t,200,6,-2.1987514,-2.1505857,0.4312535718092801,0.4290506911208989,0.0022028806883812035,0.025885574996937066
Euler PF-ODE + KDE,VESDE,uniform_t,200,7,-1.9966652,-2.1117482,0.4312535718092801,0.4240454645914617,0.007208107217818394,0.025885574996937066
Euler PF-ODE + KDE,VESDE,uniform_t,200,8,-2.7305539,-2.3484304,0.4312535718092801,0.4383424389891747,0.007088867179894598,0.025885574996937066
Euler PF-ODE + KDE,VESDE,uniform_t,200,9,-2.0067704,-2.2441282,0.4312535718092801,0.4913809902300798,0.060127418420799716,0.025885574996937066
DPM-2 + KDE,VESDE,log_sigma,10,0,-2.0590172,-2.1671157,0.4312535718092801,0.3345445055184273,0.0967090662908528,0.005571951903402805
DPM-2 + KDE,VESDE,log_sigma,10,1,-2.24755,-2.1222744,0.4312535718092801,0.3691813234758013,0.0620722483334788,0.005571951903402805
DPM-2 + KDE,VESDE,log_sigma,10,2,-2.2733066,-2.4073713,0.4312535718092801,0.37805746029495074,0.05319611151432935,0.005571951903402805
DPM-2 + KDE,VESDE,log_sigma,10,3,-2.4841154,-2.3091683,0.4312535718092801,0.3407717640099719,0.0904818077993082,0.005571951903402805
DPM-2 + KDE,VESDE,log_sigma,10,4,-2.2861452,-2.2408478,0.4312535718092801,0.3166624153193304,0.11459115648994966,0.005571951903402805
DPM-2 + KDE,VESDE,log_sigma,10,5,-2.7104778,-2.419225,0.4312535718092801,0.4089095770480173,0.02234399476126281,0.005571951903402805
DPM-2 + KDE,VESDE,log_sigma,10,6,-2.1987514,-2.1505857,0.4312535718092801,0.3728651034292636,0.05838846838001649,0.005571951903402805
DPM-2 + KDE,VESDE,log_sigma,10,7,-1.9966652,-2.1117482,0.4312535718092801,0.35317405379594463,0.07807951801333546,0.005571951903402805
