true_model,run_index,selected_model,correct,probability_percent_Logistic Prey,probability_percent_Satiated Predator,probability_percent_Rosenzweig-MacArthur,probability_percent_Lotka-Volterra,aic_Logistic Prey,aic_Satiated Predator,aic_Rosenzweig-MacArthur,aic_Lotka-Volterra
Satiated Predator,28,Satiated Predator,True,0.0,100.0,0.0,0.0,-932.37841796875,-49.04327392578125,-2805.20849609375,-1510.4853515625
Satiated Predator,29,Satiated Predator,True,0.0,100.0,0.0,0.0,-1078.9019775390625,-266.9505310058594,-2326.788330078125,-1303.1075439453125
Satiated Predator,30,Satiated Predator,True,0.0,100.0,0.0,0.0,-629.9781494140625,32.54547119140625,-1488.770751953125,-711.2319946289062
Satiated Predator,31,Satiated Predator,True,0.0,100.0,0.0,0.0,-1036.175537109375,18.255725860595703,-2746.41943359375,-1999.7669677734375
Satiated Predator,32,Satiated Predator,True,0.0,100.0,0.0,0.0,-2320.95556640625,-1367.9344482421875,-4864.689453125,-2630.38037109375
Satiated Predator,33,Satiated Predator,True,0.0,100.0,0.0,0.0,-1626.454345703125,-282.6815490722656,-2830.13232421875,-1621.865234375
Satiated Predator,34,Satiated Predator,True,0.0,100.0,0.0,0.0,-947.8605346679688,-407.55792236328125,-2196.7197265625,-1245.05078125
Satiated Predator,35,Satiated Predator,True,0.0,100.0,0.0,0.0,-1030.85205078125,-8.561436653137207,-3220.115234375,-2004.089599609375
Satiated Predator,36,Satiated Predator,True,0.0,100.0,0.0,0.0,-1070.5015869140625,-39.61211395263672,-3015.318115234375,-1850.51611328125
Satiated Predator,37,Satiated Predator,True,0.0,100.0,0.0,0.0,-591.0162963867188,-214.0465850830078,-1715.307373046875,-615.221435546875
Satiated Predator,38,Satiated Predator,True,0.0,100.0,0.0,0.0,-1249.42236328125,-237.73155212402344,-2762.090576171875,-1487.3673095703125
Satiated Predator,39,Satiated Predator,True,0.0,100.0,0.0,0.0,-1286.6802978515625,-74.32763671875,-3007.96484375,-1927.16064453125
Satiated Predator,40,Satiated Predator,True,0.0,100.0,0.0,0.0,-1140.7440185546875,-49.11042785644531,-2531.95458984375,-1893.968994140625
Satiated Predator,41,Satiated Predator,True,0.0,100.0,0.0,0.0,-762.096923828125,-261.4034118652344,-2244.114990234375,-891.14111328125
Satiated Predator,42,Satiated Predator,True,0.0,100.0,0.0,0.0,-939.3587646484375,55.51933288574219,-1945.113037109375,-807.1605224609375
Satiated Predator,43,Satiated Predator,True,0.0,100.0,0.0,0.0,-1286.8477783203125,-150.1293182373047,-2827.756591796875,-1959.0767822265625
Satiated Predator,44,Satiated Predator,True,0.0,100.0,0.0,0.0,-1691.1134033203125,-310.5362548828125,-4455.90283203125,-2219.80078125
Satiated Predator,45,Satiated Predator,True,0.0,100.0,0.0,0.0,-1051.8897705078125,-93.43663024902344,-2349.371337890625,-1223.7745361328125
Satiated Predator,46,Satiated Predator,True,0.0,100.0,0.0,0.0,-1000.7763061523438,-94.59873962402344,-2267.9111328125,-1006.3716430664062
Satiated Predator,47,Satiated Predator,True,0.0,100.0,0.0,0.0,-1097.36669921875,-101.44906616210938,-2764.63427734375,-1533.90283203125
Satiated Predator,48,Satiated Predator,True,0.0,100.0,0.0,0.0,-1049.088134765625,-275.2453918457031,-2716.085693359375,-1615.380126953125
Satiated Predator,49,Satiated Predator,True,0.0,100.0,0.0,0.0,-2145.35400390625,-321.198974609375,-3681.37744140625,-2320.1806640625
Satiated Predator,50,Satiated Predator,True,0.0,100.0,0.0,0.0,-525.2007446289062,55.3228645324707,-1337.1458740234375,-794.618408203125
Rosenzweig-MacArthur,1,Logistic Prey,False,100.0,0.0,4.612662703044746e-27,0.0,148.6966094970703,-0.07747364044189453,83.45044708251953,-22.879980087280273
Rosenzweig-MacArthur,2,Rosenzweig-MacArthur,True,1.6547382131193444e-06,0.0,100.0,0.0,197.46730041503906,-12.332365036010742,215.38433837890625,-100.10923767089844
Rosenzweig-MacArthur,3,Logistic Prey,False,100.0,0.0,9.518481922793365e-12,0.0,186.6596221923828,-76.00914001464844,156.67666625976562,-70.05160522460938
Rosenzweig-MacArthur,4,Rosenzweig-MacArthur,True,2.9876127882744186e-05,0.0,99.99996423721313,0.0,171.04638671875,-99.87199401855469,186.07000732421875,-223.97569274902344
Rosenzweig-MacArthur,5,Rosenzweig-MacArthur,True,1.581512805159946e-05,0.0,99.99998807907104,0.0,202.2618865966797,-22.218006134033203,217.92160034179688,-66.99700164794922
Rosenzweig-MacArthur,6,Rosenzweig-MacArthur,True,0.018508733774069697,0.0,99.98149275779724,0.0,204.35678100585938,-9.307828903198242,212.95127868652344,-65.71635437011719
Rosenzweig-MacArthur,7,Rosenzweig-MacArthur,True,28.19088101387024,0.0,71.80911302566528,0.0,170.49571228027344,4.634518623352051,171.43072509765625,-31.506633758544922
Rosenzweig-MacArthur,8,Logistic Prey,False,99.86110925674438,0.0,0.13888404937461019,0.0,187.19119262695312,-16.538040161132812,180.61329650878906,-70.36766815185547
Rosenzweig-MacArthur,9,Logistic Prey,False,57.67356753349304,0.0,42.32643246650696,0.0,209.6412353515625,-56.35443878173828,209.33184814453125,-129.2588348388672
Rosenzweig-MacArthur,10,Logistic Prey,False,100.0,0.0,1.6642524523476174e-14,0.0,203.5255584716797,-13.784455299377441,167.19357299804688,-65.75311279296875
Rosenzweig-MacArthur,11,Rosenzweig-MacArthur,True,6.849936173836113e-07,0.0,100.0,0.0,200.64154052734375,-31.102828979492188,219.44056701660156,-100.90424346923828
