index,true_label,probability_Hypothesis 1,probability_Hypothesis 2,probability_Hypothesis 3
226,2,0.0001821576,0.57296467,0.42685315
227,2,0.08566722,0.29489607,0.6194367
228,2,0.5438785,0.13691704,0.31920442
229,2,0.31370556,0.2232602,0.46303424
230,2,0.15914737,0.13658214,0.7042705
231,2,0.21361506,0.018643603,0.7677414
232,2,0.31853566,0.2111533,0.47031105
233,2,0.5351472,0.16837242,0.29648036
234,2,0.7533951,5.2612377e-06,0.24659963
235,2,0.483445,0.039052997,0.47750202
236,2,0.76642996,1.5990834e-05,0.23355407
237,2,0.12564884,0.46133083,0.4130203
238,2,0.057477877,0.17953558,0.76298654
239,2,0.3400675,6.0670627e-05,0.65987176
240,2,0.33227754,0.2769228,0.39079976
241,2,0.5461709,0.017577358,0.4362518
242,2,0.42907888,0.047814302,0.5231068
243,2,0.0030060022,0.5789993,0.41799477
244,2,0.1713395,0.33670235,0.4919581
245,2,0.30547038,6.604429e-06,0.69452304
246,2,0.26845878,0.0109914,0.7205498
247,2,0.8523324,3.236362e-15,0.14766762
248,2,0.36679637,0.057714306,0.5754893
249,2,0.4244771,5.7092973e-05,0.57546586
250,2,0.32975936,0.17120102,0.49903965
251,2,0.103643656,0.27009025,0.62626606
252,2,0.11263476,0.25394365,0.63342166
253,2,0.3189471,0.00013323178,0.68091965
254,2,0.25748432,0.2646734,0.47784227
255,2,0.05718398,0.12402556,0.81879044
256,2,0.026005667,0.33720437,0.63679
257,2,0.5952548,0.0061579174,0.3985873
258,2,0.007179305,0.27829412,0.7145266
259,2,0.2947136,0.2687175,0.43656898
260,2,0.07426017,0.3761469,0.5495929
261,2,0.56734234,0.25020814,0.18244958
262,2,0.6242125,0.01631897,0.35946855
263,2,0.43252692,0.06555976,0.50191325
264,2,0.106840394,0.2684025,0.6247572
265,2,0.0025043911,0.55630744,0.44118813
266,2,0.02780975,0.3653606,0.60682964
267,2,0.11199527,0.35087454,0.5371302
268,2,0.26566043,0.28317106,0.45116854
269,2,0.4172068,0.08486221,0.49793094
