training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0.139907005475834,0.30164772272109985,0.20739881843328475,1.2006199955940247,0.2691043019294739,0.23098431676626205,0.3536578416824341,1.5156436562538147,1.4248379588127136,1.6444074511528015
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0.280931914516259,0.28271396458148956,0.20472443252801895,1.178379690647125,0.27479176223278046,0.24825901985168458,0.3324693292379379,1.5167339444160461,1.4533973693847657,1.6115319728851318
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0.09638624551007524,0.18658336251974106,0.12609074711799623,0.8900148212909699,0.25185726583004,0.21007227897644043,0.29637629687786105,1.4664546251296997,1.3936885714530944,1.565587341785431
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0.1378411389887333,0.2038077935576439,0.13637581914663316,0.9262687265872955,0.2398170679807663,0.19860577285289766,0.2784494787454605,1.447813332080841,1.363322389125824,1.5321361064910888
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0.22255644149845466,0.1532089114189148,0.12685805261135102,0.8388176500797272,0.20508645474910736,0.17604700326919556,0.2534851163625717,1.3742374181747437,1.3191930532455445,1.491522240638733
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0.47259360447060317,0.10924366116523743,0.08399875685572625,0.6590635895729064,0.11516422778367996,0.09298594519495965,0.14098453670740127,1.2222524285316467,1.1732698678970337,1.2682987809181214
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,0.8928684539860114,0.07510798797011375,0.03924044370651245,0.43829324543476106,0.042185474187135696,0.014882109872996808,0.0627843365073204,1.0632394552230835,1.0151431202888488,1.120407521724701
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,0.09578457451425493,0.20386628806591034,0.14681485444307327,0.9243311226367951,0.276333749294281,0.2350075677037239,0.3084332346916199,1.5439331531524658,1.478017508983612,1.6133668899536133
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0.13756714353803545,0.16221674531698227,0.12640898823738098,0.8044164121150971,0.22798730432987213,0.18381353616714477,0.2600261837244034,1.4275971055030823,1.3586575865745545,1.4982109069824219
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,0.22096325003076345,0.13098899275064468,0.09521785005927086,0.7488061487674713,0.2147042527794838,0.17356947362422945,0.25799902677536013,1.3992221355438232,1.333342981338501,1.4995673656463624
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0.47192931396421045,0.10755768045783043,0.07657870352268219,0.6381689012050629,0.157934732735157,0.13517655730247496,0.18318149149417878,1.3081142902374268,1.2553264141082763,1.3760101437568664
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,0.8933303960366175,0.07822185754776001,0.03960620127618313,0.5021371215581893,0.10972454771399498,0.08485826924443245,0.13639820367097855,1.2224738597869873,1.1791940212249756,1.282218873500824
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0.013860635517630726,0.3093523234128952,0.18441180586814881,1.2114054918289185,1.5798356533050537,1.3734319925308227,1.9082452058792114,3.071580171585083,2.878184199333191,3.361806130409241
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0.028149313060566783,0.19100207090377808,0.13406875282526015,0.9256421983242035,0.5203869044780731,0.4567740440368652,0.5862191915512085,1.8635540008544922,1.7955972313880921,1.9653793096542358
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0.056735115533228964,0.14742963016033173,0.11167744994163513,0.7851494491100312,0.3006790280342102,0.26374414265155793,0.37301236093044277,1.5345932245254517,1.487267541885376,1.6901927709579467
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0.1436236389563419,0.13190330564975739,0.09615025147795678,0.7677847802639007,0.20117896050214767,0.1663511350750923,0.23584626168012618,1.3734200596809387,1.3214472532272339,1.4420523762702941
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,100,0.28700750053394586,0.145645871758461,0.09824686497449875,0.7272989749908447,0.1673712655901909,0.1483113408088684,0.20381107777357102,1.3360032439231873,1.279274010658264,1.3952067494392395
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0.013569239468779415,0.2958906888961792,0.14906037002801895,1.2068446040153504,0.9930506348609924,0.9032218277454376,1.094095802307129,2.5552430152893066,2.4729241132736206,2.65455641746521
