training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,runtime_device,mean_error,covariance_error,posterior_width_ratio
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0,1,0,0.13789476302918047,0.1838596840389073,cuda,0.1337093561887741,0.19393208622932434,1.3891485929489136
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0,1,1,0.1367365380283445,0.18231538403779268,cuda,0.14988380670547485,0.22943925857543945,1.4326832294464111
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,0,1,0,0.22034769505262375,0.29379692673683167,cuda,0.09493998438119888,0.1695353239774704,1.3271194696426392
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,0,1,1,0.22042167303152382,0.29389556404203176,cuda,0.09586620330810547,0.16862763464450836,1.323238492012024
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0,1,0,0.46994909504428506,0.6265987933923801,cuda,0.0951971709728241,0.15832240879535675,1.306123971939087
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0,1,1,0.4753663269802928,0.633821769307057,cuda,0.10859590023756027,0.14146371185779572,1.278106927871704
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,0,1,0,0.8853023750707507,1.1804031667610009,cuda,0.047086238861083984,0.06783171743154526,1.1482489109039307
uniform,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,0,1,1,0.8849207520252094,1.1798943360336125,cuda,0.03091631457209587,0.10297182947397232,1.2058578729629517
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,1,0,0.0993696009973064,0.13249280132974187,cuda,0.1672237068414688,0.25363853573799133,1.469853401184082
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,1,1,0.09642093197908252,0.1285612426387767,cuda,0.1596740037202835,0.21415135264396667,1.4172624349594116
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,1,0,0.13785131799522787,0.1838017573269705,cuda,0.19489428400993347,0.21145333349704742,1.4004783630371094
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,1,1,0.13676756899803877,0.18235675866405168,cuda,0.19695712625980377,0.22601880133152008,1.419590950012207
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,1,0,0.22338496602606028,0.2978466213680804,cuda,0.13582196831703186,0.1845329850912094,1.344342827796936
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,1,1,0.2202488430775702,0.29366512410342693,cuda,0.12541045248508453,0.1801079511642456,1.3363527059555054
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,1,0,0.46858953102491796,0.6247860413665572,cuda,0.08407814055681229,0.08761689811944962,1.161882758140564
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,1,1,0.46952557004988194,0.6260340933998426,cuda,0.10027272999286652,0.09362927079200745,1.1803295612335205
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,0,1,0,0.8866103220498189,1.1821470960664253,cuda,0.03821782022714615,0.0422455333173275,1.0672376155853271
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,0,1,1,0.8873183840187266,1.1830911786916356,cuda,0.05116744711995125,0.0215306393802166,1.023885726928711
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,1,0,0.013656959985382855,0.018209279980510473,cuda,0.28537851572036743,0.9457699060440063,2.511945962905884
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0,1,1,0.013374904985539615,0.017833206647386152,cuda,0.2523708641529083,0.9030086994171143,2.479004383087158
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,1,0,0.02767098101321608,0.03689464135095477,cuda,0.18588869273662567,0.4844631850719452,1.8934228420257568
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0,1,1,0.02802969003096223,0.037372920041282974,cuda,0.18330144882202148,0.525364100933075,1.9316990375518799
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,1,0,0.056158542982302606,0.0748780573097368,cuda,0.12107925117015839,0.345689058303833,1.6551871299743652
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0,1,1,0.05708919803146273,0.07611893070861697,cuda,0.12142468988895416,0.28704625368118286,1.574101209640503
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,1,0,0.14501407102216035,0.1933520946962138,cuda,0.12754113972187042,0.25035545229911804,1.4824010133743286
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0,1,1,0.14306428201962262,0.1907523760261635,cuda,0.12943677604198456,0.23633548617362976,1.4680507183074951
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,0,1,0,0.28201460698619485,0.37601947598159313,cuda,0.10786581039428711,0.18448424339294434,1.373347282409668
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,0,1,1,0.2837273880140856,0.37830318401878077,cuda,0.09324914216995239,0.182988703250885,1.3662327527999878
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,1,0,0.013681782991625369,0.018242377322167158,cuda,0.26939335465431213,1.3214137554168701,2.847897529602051
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,0,1,1,0.013554301927797496,0.018072402570396662,cuda,0.2955882251262665,1.3799618482589722,2.8761253356933594
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,1,0,0.027569000027142465,0.03675866670285662,cuda,0.1419515460729599,0.46053189039230347,1.7956899404525757
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0,1,1,0.02758036891464144,0.03677382521952192,cuda,0.15346696972846985,0.5177470445632935,1.8546096086502075
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,1,0,0.056665356969460845,0.07555380929261446,cuda,0.12011478841304779,0.26305148005485535,1.491916298866272
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0,1,1,0.056485064909793437,0.07531341987972458,cuda,0.09863000363111496,0.26536035537719727,1.4911251068115234
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,1,0,0.1427001269767061,0.19026683596894145,cuda,0.10991251468658447,0.15076732635498047,1.295789361000061
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0,1,1,0.14500505104660988,0.19334006806214651,cuda,0.11590392887592316,0.16989843547344208,1.3354612588882446
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,100,0,1,0,0.2852789959870279,0.3803719946493705,cuda,0.09645792096853256,0.1625070869922638,1.3110594749450684
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,100,0,1,1,0.2842464039567858,0.3789952052757144,cuda,0.10723921656608582,0.15174943208694458,1.2994904518127441
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,2,0,0.013815028010867536,0.01842003734782338,cuda,0.28851285576820374,0.11778286099433899,1.2017005681991577
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,2,1,0.013184956042096019,0.017579941389461357,cuda,0.28160491585731506,0.11729379743337631,1.1945698261260986
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,2,0,0.02759378496557474,0.03679171328743299,cuda,0.18619494140148163,0.24348184466362,1.427884817123413
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,2,1,0.02744495205115527,0.03659326940154036,cuda,0.2339172512292862,0.1842610090970993,1.3306924104690552
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,2,0,0.055169092025607824,0.0735587893674771,cuda,0.23667702078819275,0.2078089416027069,1.3935343027114868
