training_scheme,model_seed,observation,sigma_m,diffusion_time,relative_score_rmse,scaled_score_rmse
uniform,2,1,1.7465559244155884,0.8103709816932678,0.2848023772239685,0.28485652804374695
uniform,2,1,2.0155458450317383,0.9040728211402893,0.28587907552719116,0.2757326662540436
uniform,2,1,2.3259634971618652,1.0,0.2832491397857666,0.2829322814941406
uniform,2,2,0.031644415110349655,0.000999981421045959,2.680701971054077,0.2949449419975281
uniform,2,2,0.036518022418022156,0.0013310941867530346,2.0982840061187744,0.2875753939151764
uniform,2,2,0.04214222729206085,0.0017716207075864077,1.7206624746322632,0.2690209746360779
uniform,2,2,0.04863262176513672,0.0023574272636324167,1.4508064985275269,0.24320487678050995
uniform,2,2,0.056122612208127975,0.003136059734970331,1.110743761062622,0.2107163816690445
uniform,2,2,0.06476614624261856,0.004170452244579792,0.8747049570083618,0.20677965879440308
uniform,2,2,0.07474089413881302,0.005543392617255449,0.654988706111908,0.17704160511493683
uniform,2,2,0.08625186234712601,0.007363683078438044,0.494161456823349,0.14562560617923737
uniform,2,2,0.09953565895557404,0.009773730300366879,0.36907753348350525,0.11902478337287903
uniform,2,2,0.11486529558897018,0.012958434410393238,0.23613223433494568,0.09321419894695282
uniform,2,2,0.13255588710308075,0.017156483605504036,0.172377347946167,0.06901708990335464
uniform,2,2,0.1529710441827774,0.02267235703766346,0.14713893830776215,0.06686178594827652
uniform,2,2,0.17653034627437592,0.029889527708292007,0.13902799785137177,0.07151394337415695
uniform,2,2,0.20371808111667633,0.03928206115961075,0.15791919827461243,0.09245913475751877
uniform,2,2,0.23509304225444794,0.05142240226268768,0.18643446266651154,0.11350371688604355
uniform,2,2,0.2713001072406769,0.06698070466518402,0.20525015890598297,0.13623188436031342
uniform,2,2,0.3130834996700287,0.08671019226312637,0.22104817628860474,0.1479906439781189
uniform,2,2,0.361301988363266,0.11141348630189896,0.24353967607021332,0.18261326849460602
uniform,2,2,0.4169467091560364,0.14188621938228607,0.2530904710292816,0.2056160867214203
uniform,2,2,0.4811613857746124,0.17884142696857452,0.25375622510910034,0.21794362366199493
uniform,2,2,0.5552658438682556,0.22282467782497406,0.2657865583896637,0.22902019321918488
uniform,2,2,0.6407832503318787,0.2741386294364929,0.27211448550224304,0.23721832036972046
uniform,2,2,0.7394713163375854,0.33279743790626526,0.2638455927371979,0.2355756014585495
uniform,2,2,0.8533585071563721,0.3985244333744049,0.24765491485595703,0.21938981115818024
uniform,2,2,0.9847856760025024,0.4707942008972168,0.2403630167245865,0.23700764775276184
uniform,2,2,1.1364541053771973,0.5489058494567871,0.23433135449886322,0.22850322723388672
uniform,2,2,1.3114813566207886,0.6320682168006897,0.20345410704612732,0.19735373556613922
uniform,2,2,1.5134648084640503,0.7194765210151672,0.19855444133281708,0.18754926323890686
uniform,2,2,1.7465559244155884,0.8103709816932678,0.17059503495693207,0.16538628935813904
uniform,2,2,2.0155458450317383,0.9040728211402893,0.15572360157966614,0.14708489179611206
uniform,2,2,2.3259634971618652,1.0,0.13032163679599762,0.1225411668419838
uniform,2,3,0.031644415110349655,0.000999981421045959,1.9814262390136719,0.23414058983325958
uniform,2,3,0.036518022418022156,0.0013310941867530346,1.5280417203903198,0.2085634469985962
uniform,2,3,0.04214222729206085,0.0017716207075864077,1.3296394348144531,0.2179049849510193
uniform,2,3,0.04863262176513672,0.0023574272636324167,1.1663877964019775,0.1985352337360382
uniform,2,3,0.056122612208127975,0.003136059734970331,0.762948215007782,0.1679130345582962
uniform,2,3,0.06476614624261856,0.004170452244579792,0.6447857618331909,0.1528102457523346
uniform,2,3,0.07474089413881302,0.005543392617255449,0.5400458574295044,0.14237526059150696
uniform,2,3,0.08625186234712601,0.007363683078438044,0.4735472500324249,0.1331464797258377
uniform,2,3,0.09953565895557404,0.009773730300366879,0.3847433030605316,0.1261131763458252
uniform,2,3,0.11486529558897018,0.012958434410393238,0.3501879572868347,0.1352395862340927
uniform,2,3,0.13255588710308075,0.017156483605504036,0.34421104192733765,0.15316814184188843
uniform,2,3,0.1529710441827774,0.02267235703766346,0.3497743606567383,0.16438740491867065
uniform,2,3,0.17653034627437592,0.029889527708292007,0.3528900146484375,0.1886812448501587
uniform,2,3,0.20371808111667633,0.03928206115961075,0.3653402030467987,0.19219042360782623
uniform,2,3,0.23509304225444794,0.05142240226268768,0.3669831454753876,0.22061534225940704
uniform,2,3,0.2713001072406769,0.06698070466518402,0.378648579120636,0.27082452178001404
uniform,2,3,0.3130834996700287,0.08671019226312637,0.37968501448631287,0.2828198969364166
uniform,2,3,0.361301988363266,0.11141348630189896,0.39146772027015686,0.29564037919044495
uniform,2,3,0.4169467091560364,0.14188621938228607,0.4096590280532837,0.3407891094684601
uniform,2,3,0.4811613857746124,0.17884142696857452,0.4416143596172333,0.35385188460350037
uniform,2,3,0.5552658438682556,0.22282467782497406,0.47300153970718384,0.39163607358932495
uniform,2,3,0.6407832503318787,0.2741386294364929,0.47045019268989563,0.43542954325675964
uniform,2,3,0.7394713163375854,0.33279743790626526,0.5129377841949463,0.4785597324371338
uniform,2,3,0.8533585071563721,0.3985244333744049,0.5203892588615417,0.4896567165851593
uniform,2,3,0.9847856760025024,0.4707942008972168,0.5678604245185852,0.5336146950721741
uniform,2,3,1.1364541053771973,0.5489058494567871,0.5323944091796875,0.540272057056427
uniform,2,3,1.3114813566207886,0.6320682168006897,0.5538708567619324,0.5231026411056519
uniform,2,3,1.5134648084640503,0.7194765210151672,0.5162708163261414,0.5115253329277039
uniform,2,3,1.7465559244155884,0.8103709816932678,0.5053200721740723,0.49358344078063965
uniform,2,3,2.0155458450317383,0.9040728211402893,0.46975061297416687,0.472673237323761
uniform,2,3,2.3259634971618652,1.0,0.44142764806747437,0.44686198234558105
mixture,0,0,0.031644415110349655,0.000999981421045959,1.9082350730895996,0.22107186913490295
mixture,0,0,0.036518022418022156,0.0013310941867530346,1.5460158586502075,0.21650093793869019
mixture,0,0,0.04214222729206085,0.0017716207075864077,1.2159799337387085,0.18636219203472137
mixture,0,0,0.04863262176513672,0.0023574272636324167,0.9593335390090942,0.17093709111213684
mixture,0,0,0.056122612208127975,0.003136059734970331,0.7100393772125244,0.1435375213623047
mixture,0,0,0.06476614624261856,0.004170452244579792,0.5069989562034607,0.12717628479003906
mixture,0,0,0.07474089413881302,0.005543392617255449,0.35408106446266174,0.09259893745183945
mixture,0,0,0.08625186234712601,0.007363683078438044,0.22854140400886536,0.07180605828762054
mixture,0,0,0.09953565895557404,0.009773730300366879,0.12731604278087616,0.04283589869737625
mixture,0,0,0.11486529558897018,0.012958434410393238,0.10137983411550522,0.04214601591229439
mixture,0,0,0.13255588710308075,0.017156483605504036,0.1353229284286499,0.05862092226743698
mixture,0,0,0.1529710441827774,0.02267235703766346,0.1864347606897354,0.08834845572710037
mixture,0,0,0.17653034627437592,0.029889527708292007,0.22441209852695465,0.10700728744268417
mixture,0,0,0.20371808111667633,0.03928206115961075,0.2544957995414734,0.15807846188545227
mixture,0,0,0.23509304225444794,0.05142240226268768,0.27494287490844727,0.1787077784538269
mixture,0,0,0.2713001072406769,0.06698070466518402,0.296230673789978,0.19671407341957092
mixture,0,0,0.3130834996700287,0.08671019226312637,0.2996416985988617,0.20328404009342194
mixture,0,0,0.361301988363266,0.11141348630189896,0.30001527070999146,0.2293204665184021
mixture,0,0,0.4169467091560364,0.14188621938228607,0.2924390733242035,0.23543168604373932
mixture,0,0,0.4811613857746124,0.17884142696857452,0.30588293075561523,0.2537859380245209
mixture,0,0,0.5552658438682556,0.22282467782497406,0.27787891030311584,0.2398795187473297
