correction,inference_time_grid,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,training_time_sampling,variant
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.020500291138887405,langevin,1,1,3.179711067932658,-0.19359032809734344,0.8180638551712036,1.1569169759750366,mixture,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.012939732521772385,dpm,2,1,2.1950333800632507,-0.011414707638323307,0.6273594498634338,1.086618423461914,uniform,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.0026376855093985796,dpm,2,1,2.2035156950587407,-0.00546681834384799,0.62308269739151,1.079210877418518,uniform,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.04452712461352348,langevin,2,1,5.1560360139701515,-0.029651697725057602,0.636014997959137,1.1016103029251099,uniform,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.01794435642659664,langevin,2,1,5.160216607968323,-0.014304128475487232,0.6410391330718994,1.1103123426437378,uniform,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.0481564886868,langevin,2,1,4.985729221953079,-0.031747110188007355,0.5014894008636475,0.8686051368713379,uniform,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.045199524611234665,langevin,2,1,5.031307374942116,-0.03003990650177002,0.6872820258140564,1.190407395362854,uniform,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.025423472747206688,dpm,2,1,2.2095748210558668,0.010734298266470432,0.6334274411201477,1.0971285104751587,log_sigma,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.027240106835961342,dpm,2,1,2.2189051539171487,0.011783132329583168,0.6307019591331482,1.0924078226089478,log_sigma,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.018784314393997192,langevin,2,1,5.182486817007884,0.006901178974658251,0.6295258402824402,1.090370774269104,log_sigma,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.014160105027258396,langevin,2,1,5.18071820307523,0.004231390543282032,0.6287645101547241,1.0890520811080933,log_sigma,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.04181007668375969,langevin,2,1,5.0154445979278535,0.02019510790705681,0.6424701809883118,1.1127910614013672,log_sigma,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.03371643275022507,langevin,2,1,5.032941831974313,0.015522242523729801,0.6676955819129944,1.1564826965332031,log_sigma,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.008167670108377934,dpm,2,1,2.2131898319348693,-0.00865955650806427,0.5951011180877686,1.0307453870773315,mixture,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.016928981989622116,dpm,2,1,2.209271122002974,0.005830002017319202,0.6005674004554749,1.0402132272720337,mixture,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.00645394716411829,langevin,2,1,5.166345567093231,-0.007670138031244278,0.6090852618217468,1.054966688156128,mixture,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.020249858498573303,langevin,2,1,5.167355239042081,-0.015635211020708084,0.590793788433075,1.023284912109375,mixture,langevin_gauss_uniform_t
