correction,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,theta_true,truth_mean,truth_std,variant
uncorrected,DPM-2 + uncorrected,0.047253940254449844,dpm,50,0,43.34212523297174,-0.1466754525899887,0.05956605076789856,0.4253866672515869,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,dpm_raw
gauss,Langevin + Gaussian,0.5831125378608704,langevin,50,0,99.77991277596448,-0.221710667014122,0.15789814293384552,1.1276181936264038,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,langevin_gauss
uncorrected,Langevin + uncorrected,0.015385350212454796,langevin,50,0,99.75096651696367,-0.14221295714378357,0.062026526778936386,0.44295796751976013,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,langevin_raw
fnpe,Langevin + F-NPSE,0.1673644483089447,langevin,50,0,99.92644991498673,-0.1634942889213562,0.15762190520763397,1.1256455183029175,-0.1467950940132141,-0.1400585829042921,0.14002800840280097,langevin_fnpe
gauss,DPM-2 + Gaussian,0.026172783225774765,dpm,1,1,1.4025702609797008,-0.0975932702422142,0.7316204309463501,1.0346676111221313,0.334337055683136,-0.0790863186120987,0.7071067811865476,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.006545711308717728,dpm,1,1,1.4869634530041367,-0.08371483534574509,0.7343435883522034,1.0385186672210693,0.334337055683136,-0.0790863186120987,0.7071067811865476,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.009250338189303875,dpm,1,1,1.3469019629992545,-0.07254534214735031,0.7405939698219299,1.0473580360412598,0.334337055683136,-0.0790863186120987,0.7071067811865476,dpm_raw
gauss,Langevin + Gaussian,0.04586949944496155,langevin,1,1,3.27246881701285,-0.11152095347642899,0.7477580308914185,1.0574895143508911,0.334337055683136,-0.0790863186120987,0.7071067811865476,langevin_gauss
uncorrected,Langevin + uncorrected,0.024104604497551918,langevin,1,1,3.179343931027688,-0.062041789293289185,0.6845804452896118,0.9681429862976074,0.334337055683136,-0.0790863186120987,0.7071067811865476,langevin_raw
fnpe,Langevin + F-NPSE,0.0009477350977249444,langevin,1,1,3.1750963759841397,-0.0797564685344696,0.6938297152519226,0.9812234044075012,0.334337055683136,-0.0790863186120987,0.7071067811865476,langevin_fnpe
gauss,DPM-2 + Gaussian,0.04069758579134941,dpm,2,1,2.21620530099608,-0.15825337171554565,0.5949710607528687,1.0305200815200806,0.334337055683136,-0.18175013860066733,0.5773502691896257,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.011105624958872795,dpm,2,1,2.302549604966771,-0.17533829808235168,0.5887539982795715,1.0197519063949585,0.334337055683136,-0.18175013860066733,0.5773502691896257,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.015066619962453842,dpm,2,1,2.1220240049879067,-0.1904488503932953,0.5680171251296997,0.9838345646858215,0.334337055683136,-0.18175013860066733,0.5773502691896257,dpm_raw
gauss,Langevin + Gaussian,0.027281926944851875,langevin,2,1,5.17370851902524,-0.1659989058971405,0.5978088974952698,1.035435438156128,0.334337055683136,-0.18175013860066733,0.5773502691896257,langevin_gauss
uncorrected,Langevin + uncorrected,0.029819602146744728,langevin,2,1,5.001076326996554,-0.19896648824214935,0.5277209281921387,0.9140394926071167,0.334337055683136,-0.18175013860066733,0.5773502691896257,langevin_raw
fnpe,Langevin + F-NPSE,0.0522129125893116,langevin,2,1,5.014758114004508,-0.15160499513149261,0.5914335250854492,1.0243929624557495,0.334337055683136,-0.18175013860066733,0.5773502691896257,langevin_fnpe
gauss,DPM-2 + Gaussian,0.10151644051074982,dpm,5,1,4.764738381956704,-0.009921579621732235,0.46772801876068115,1.1456949710845947,0.334337055683136,-0.05136549472808838,0.408248290463863,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.0576055534183979,dpm,5,1,4.838181417959277,-0.027848124504089355,0.4687555134296417,1.1482118368148804,0.334337055683136,-0.05136549472808838,0.408248290463863,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.021421507000923157,dpm,5,1,4.760556537017692,-0.06011078879237175,0.3444876968860626,0.8438190221786499,0.334337055683136,-0.05136549472808838,0.408248290463863,dpm_raw
gauss,Langevin + Gaussian,0.08168361335992813,langevin,5,1,11.130167359020561,-0.018018297851085663,0.4820554554462433,1.180789828300476,0.334337055683136,-0.05136549472808838,0.408248290463863,langevin_gauss
uncorrected,Langevin + uncorrected,0.07213962078094482,langevin,5,1,10.959505405975506,-0.0808163732290268,0.2777425944805145,0.6803275942802429,0.334337055683136,-0.05136549472808838,0.408248290463863,langevin_raw
fnpe,Langevin + F-NPSE,0.024545708671212196,langevin,5,1,10.900067595008295,-0.061386238783597946,0.4377589225769043,1.0722860097885132,0.334337055683136,-0.05136549472808838,0.408248290463863,langevin_fnpe
gauss,DPM-2 + Gaussian,0.08151654154062271,dpm,10,1,9.190453574992716,0.14333511888980865,0.42133963108062744,1.3974254131317139,0.334337055683136,0.11875695532018488,0.30151134457776363,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.10599321126937866,dpm,10,1,9.217826723994222,0.15071511268615723,0.4148276150226593,1.3758275508880615,0.334337055683136,0.11875695532018488,0.30151134457776363,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.10050240159034729,dpm,10,1,9.121005305030849,0.08845434337854385,0.2092428207397461,0.6939799189567566,0.334337055683136,0.11875695532018488,0.30151134457776363,dpm_raw
gauss,Langevin + Gaussian,0.13475492596626282,langevin,10,1,21.112483542005066,0.15938709676265717,0.42668986320495605,1.4151701927185059,0.334337055683136,0.11875695532018488,0.30151134457776363,langevin_gauss
uncorrected,Langevin + uncorrected,0.2244543880224228,langevin,10,1,21.009405870980117,0.05108141154050827,0.16878058016300201,0.5597818493843079,0.334337055683136,0.11875695532018488,0.30151134457776363,langevin_raw
fnpe,Langevin + F-NPSE,0.026334920898079872,langevin,10,1,20.999022228003014,0.11081667989492416,0.3285205066204071,1.0895792245864868,0.334337055683136,0.11875695532018488,0.30151134457776363,langevin_fnpe
gauss,DPM-2 + Gaussian,0.057093191891908646,dpm,25,1,22.269045600958634,0.21283133327960968,0.2793191969394684,1.424254059791565,0.334337055683136,0.20163444372323844,0.19611613513818404,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.06759624183177948,dpm,25,1,22.359863313962705,0.21489115059375763,0.26886436343193054,1.370944619178772,0.334337055683136,0.20163444372323844,0.19611613513818404,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.4570462703704834,dpm,25,1,22.226892149017658,0.11200028657913208,0.09198451042175293,0.46903082728385925,0.334337055683136,0.20163444372323844,0.19611613513818404,dpm_raw
gauss,Langevin + Gaussian,0.08649849146604538,langevin,25,1,51.18631981394719,0.21859818696975708,0.279262512922287,1.4239649772644043,0.334337055683136,0.20163444372323844,0.19611613513818404,langevin_gauss
uncorrected,Langevin + uncorrected,0.6033763885498047,langevin,25,1,50.98377018899191,0.08330259472131729,0.09264734387397766,0.4724106192588806,0.334337055683136,0.20163444372323844,0.19611613513818404,langevin_raw
fnpe,Langevin + F-NPSE,0.04455734044313431,langevin,25,1,51.19210790505167,0.1928960233926773,0.21645796298980713,1.103723406791687,0.334337055683136,0.20163444372323844,0.19611613513818404,langevin_fnpe
