training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,mean_error,covariance_error,posterior_error
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,1,1,0.0575884509598836,0.0767846012798448,0.2957236468791961,0.2125444114208221,1.000868797302246
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,1,0,0.1507232490112073,0.2009643320149431,0.3035062849521637,0.2239843755960464,1.0615241527557373
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,1,1,0.1532504759961739,0.2043339679948985,0.3076597452163696,0.2217011898756027,1.0801054239273071
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,1,0,0.0158970470074564,0.0211960626766085,0.3878465592861175,0.1090780198574066,1.4654970169067385
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,1,1,0.0151407939847558,0.0201877253130078,0.3894112706184387,0.1218032389879226,1.481659173965454
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,1,0,0.0302475970238447,0.0403301293651262,0.3474169373512268,0.1693385988473892,1.251772403717041
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,1,1,0.030035700998269,0.0400476013310253,0.334584891796112,0.1432434320449829,1.1548864841461182
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,1,0,0.0608614130178466,0.0811485506904621,0.29788938164711,0.2452084869146347,1.054043889045715
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,1,1,0.0621302659856155,0.0828403546474874,0.3207561075687408,0.2107411175966262,1.133267879486084
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,1,0,0.153185429982841,0.2042472399771213,0.3143079578876495,0.2243782579898834,1.123426079750061
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,1,1,0.1478147430461831,0.1970863240615775,0.3185181319713592,0.2220564484596252,1.1430764198303225
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,1,0,0.1036985670216381,0.1382647560288508,0.1613332033157348,0.2537190318107605,0.4712579250335693
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,1,1,0.1025110380141995,0.1366813840189328,0.1526428908109665,0.215105652809143,0.4101357460021972
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,1,0,0.1512045140261761,0.2016060187015682,0.1912291795015335,0.2109310030937194,0.5189292430877686
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,1,1,0.1500935109797865,0.200124681306382,0.1932240277528762,0.2266276031732559,0.5398551225662231
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,1,0,0.2424137290217913,0.3232183053623885,0.1343555897474289,0.1858261078596115,0.3118371367454529
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0,1,1,0.238541676022578,0.318055568030104,0.1309277564287185,0.1810620278120041,0.2905568480491638
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,1,0,0.5105862750206143,0.6807817000274857,0.0793691426515579,0.088544487953186,0.1135857105255127
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0,1,1,0.5018623200012371,0.6691497600016495,0.0851495042443275,0.0943837687373161,0.1027805805206298
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0,1,0,0.0149774879682809,0.0199699839577078,0.1812067031860351,0.1279274523258209,4.97874116897583
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0,1,1,0.0149873599875718,0.0199831466500957,0.1806971132755279,0.1257591396570205,4.381916999816895
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0,1,0,0.0301196879590861,0.0401595839454482,0.1263777911663055,0.1441247314214706,7.321212291717529
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0,1,1,0.0297119149472564,0.0396158865963419,0.1244193091988563,0.1475838720798492,7.972343921661377
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0,1,0,0.0596058149822056,0.0794744199762741,0.1012122109532356,0.146769642829895,8.444633483886719
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0,1,1,0.0605843130033463,0.0807790840044617,0.104371391236782,0.1496864408254623,9.14855670928955
