training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi,sliced_wasserstein_median,sliced_wasserstein_lo,sliced_wasserstein_hi,theta_map_squared_error_median,theta_map_squared_error_lo,theta_map_squared_error_hi,observation_map_squared_error_median,observation_map_squared_error_lo,observation_map_squared_error_hi
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0.23585982696386054,0.4499664157629013,0.18948894143104553,0.5692339241504669,0.20818136632442474,0.171116504073143,0.43878696262836453,1.3230483531951904,1.1439219474792481,1.542369830608368,0.2942451983690262,0.16147336065769197,0.36683854162693025,13.648904576897621,0.06589545346796513,2601.064599609375,2.4159146547317505,0.10720159411430359,69.35697631835937
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,0.4705824874690734,0.416946217417717,0.21103656589984893,0.5436416864395142,0.1919490322470665,0.1570313200354576,0.34270471930503843,1.3278292417526245,1.1047784805297851,1.5353076696395873,0.27148863673210144,0.16041457206010817,0.35234635770320893,15.321015536785126,0.03908365853130817,2599.849267578125,2.588187336921692,0.041319537162780764,69.19072036743164
log_sigma,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0.0251567869563587,0.4814363121986389,0.2287509709596634,0.6540928423404694,0.22302315384149551,0.1320365622639656,0.5708804011344909,1.244183599948883,1.070975649356842,1.402156138420105,0.3167780935764313,0.16013137698173524,0.4224167704582214,14.316201880574226,0.030859123449772614,2597.5356201171876,2.5702027082443237,0.029298104718327538,68.72475128173828
log_sigma,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0.047377860988490283,0.42170387506484985,0.21838904023170472,0.5613629817962646,0.19201218336820602,0.1395909458398819,0.39158035814762115,1.2479966282844543,1.0987272381782531,1.385596787929535,0.27563950419425964,0.1492798864841461,0.36328521072864534,14.348090033978224,0.04437943994998932,2598.7863525390626,1.9135527610778809,0.051950220391154295,68.916748046875
log_sigma,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0.09421767148887739,0.41572505235671997,0.1500755086541176,0.5654435813426971,0.19305315613746643,0.14968491941690446,0.439302533864975,1.2955479621887207,1.1012690186500549,1.468384003639221,0.2700125128030777,0.13425452411174774,0.3641414016485214,14.781611561775208,0.026366918534040454,2595.0002197265626,1.75103297829628,0.040870492160320286,69.61259002685547
log_sigma,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0.23680569150019437,0.425324484705925,0.18212277293205262,0.5301275014877319,0.19070202112197876,0.15544566363096238,0.41411156356334683,1.294371485710144,1.1361862540245056,1.4861598253250121,0.27765341103076935,0.1504034623503685,0.34318007826805114,13.630713760852814,0.05500518791377545,2599.726953125,2.0201805233955383,0.09878146871924401,69.41364135742188
log_sigma,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0.46720102400286123,0.39641667902469635,0.2073281779885292,0.525140768289566,0.18328380584716797,0.1495910108089447,0.33392907977104186,1.311187207698822,1.1003845095634461,1.5068490028381347,0.2586745247244835,0.15466363430023194,0.3407047837972641,15.31163415312767,0.037872640416026115,2599.091650390625,2.327364146709442,0.03952077776193619,69.24336242675781
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0.1638411789899692,0.1822589859366417,0.11463551372289658,0.3548756033182144,0.19921815395355225,0.14678510874509812,0.2341448947787285,1.335862934589386,1.114799165725708,1.579869568347931,0.15540891885757446,0.09589608460664749,0.24409411847591397,14.356809075921774,0.00577400759793818,2591.064453125,0.8965729437768459,0.03474801704287529,70.56359786987305
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0.23364135948941112,0.17924241721630096,0.14390659481287002,0.38487786948680874,0.1990373134613037,0.16312093287706375,0.24639982134103774,1.3317589163780212,1.1294625997543335,1.5622844576835633,0.1424008086323738,0.1172945186495781,0.2614870220422745,14.010082185268402,0.009162143245339394,2579.3027587890624,0.8211140036582947,0.012614833377301697,69.73394546508788
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0.37192159454571083,0.12721166759729385,0.07369661331176758,0.3498527228832245,0.1901913657784462,0.14874852448701859,0.2334941655397415,1.3385947942733765,1.1225473403930664,1.505067729949951,0.11557480692863464,0.09079818800091743,0.23546362221240996,14.72860512882471,0.015092470683157447,2581.3519775390623,0.674424085766077,0.010103782918304206,68.84783630371093
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0.7931915110093541,0.08881254494190216,0.052007715404033664,0.2203413516283035,0.1802251636981964,0.1291431576013565,0.329062408208847,1.2802006006240845,1.1478487730026246,1.3957072734832763,0.10738999769091606,0.08771459683775902,0.15732966512441635,13.762449122965336,0.014886168483644725,2556.17763671875,0.4968872144818306,0.007451142556965352,69.96310424804688
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,1.5012041964801028,0.08964326977729797,0.017960466630756858,0.18114289045333862,0.11288420483469963,0.07864692509174347,0.29495289623737336,1.1893560290336609,1.097555649280548,1.286502969264984,0.08734563365578651,0.06032563671469689,0.13340166360139846,16.289460748434067,0.0030978823080658915,2571.4288330078125,0.4291556621901691,0.0012742828810587527,70.25106506347656
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,0.16137039655586705,0.16072338074445724,0.12253363281488419,0.323324254155159,0.31712839007377625,0.26275214850902556,0.33895583152770997,1.518961787223816,1.2003199696540832,1.8729434609413147,0.19206275045871735,0.12969680726528168,0.26689024865627287,14.692878358066082,0.011360585037618876,2577.9394287109376,0.7237381860613823,0.011498502362519503,69.97289352416992
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0.23221321101300418,0.13951703906059265,0.1116165690124035,0.3079569101333618,0.22266552597284317,0.19617110788822173,0.28032541573047637,1.3792622685432434,1.1464733719825744,1.627742874622345,0.1476639360189438,0.10913798809051514,0.2241839125752449,16.2476893812418,0.003929234994575382,2583.29912109375,0.6672847643494606,0.014749307930469514,70.05805969238281
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,0.3730809845146723,0.08789506927132607,0.03922361545264721,0.2656420201063156,0.2107316181063652,0.17745137512683867,0.32882976830005645,1.3476786613464355,1.1528433918952943,1.54223712682724,0.11904384195804596,0.08914804384112358,0.19747445434331892,14.995508968830109,0.0007060710922814906,2590.18525390625,0.47916104458272457,0.0007360640622209758,68.752001953125
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0.7976786949438974,0.08368705958127975,0.018417587690055373,0.1936473697423935,0.19504322111606598,0.14970068782567977,0.3154212713241577,1.3034874200820923,1.1589598774909973,1.4820032596588135,0.11667976900935173,0.08777379691600799,0.1426421135663986,14.967566817998886,0.009816842898726464,2572.6971435546875,0.4928915202617645,0.0066445771604776395,70.47066345214844
