training_scheme,model_seed,observation,sigma_m,diffusion_time,relative_score_rmse,scaled_score_rmse
log_sigma,1,1,1.1388518810272217,0.7421982884407043,0.331825315952301,0.31736648082733154
log_sigma,1,1,1.2943450212478638,0.8661344647407532,0.2917296588420868,0.2734728157520294
log_sigma,1,1,1.4710685014724731,1.0,0.25753211975097656,0.26356029510498047
log_sigma,1,2,0.031633540987968445,0.0009999875910580158,0.9969573020935059,0.9883479475975037
log_sigma,1,2,0.03595263138413429,0.0012914647813886404,0.9960585832595825,1.0337011814117432
log_sigma,1,2,0.04086142033338547,0.0016677641542628407,0.9804326295852661,0.9670126438140869
log_sigma,1,2,0.04644044116139412,0.002153530716896057,0.980646550655365,1.0007517337799072
log_sigma,1,2,0.052781183272600174,0.002780495211482048,0.9639934301376343,1.0085805654525757
log_sigma,1,2,0.059987667948007584,0.003589533269405365,0.9803304672241211,1.0134501457214355
log_sigma,1,2,0.06817809492349625,0.004633348435163498,0.9581795334815979,0.9666851758956909
log_sigma,1,2,0.0774867832660675,0.005979322362691164,0.9699243903160095,1.0231120586395264
log_sigma,1,2,0.0880664512515068,0.007714332081377506,0.9474707245826721,0.9459637403488159
log_sigma,1,2,0.10009060800075531,0.009949231520295143,0.9228228330612183,0.9135231375694275
log_sigma,1,2,0.11375648528337479,0.01282587368041277,0.8999291062355042,0.8816472887992859
log_sigma,1,2,0.12928824126720428,0.016524694859981537,0.8763309717178345,0.8723519444465637
log_sigma,1,2,0.14694061875343323,0.02127472683787346,0.8650917410850525,0.8788321614265442
log_sigma,1,2,0.16700315475463867,0.027364419773221016,0.8402774333953857,0.8603730201721191
log_sigma,1,2,0.18980495631694794,0.03515515476465225,0.8345842361450195,0.8385434746742249
log_sigma,1,2,0.21571995317935944,0.04509562999010086,0.7823001742362976,0.7473883032798767
log_sigma,1,2,0.24517332017421722,0.05773649364709854,0.7880579829216003,0.7965410947799683
log_sigma,1,2,0.2786480486392975,0.073743537068367,0.7514580488204956,0.737779438495636
log_sigma,1,2,0.3166932761669159,0.09390784054994583,0.7036172151565552,0.6927775740623474
log_sigma,1,2,0.3599330186843872,0.11914696544408798,0.695900559425354,0.7004168629646301
log_sigma,1,2,0.4090765118598938,0.1504938006401062,0.6057687401771545,0.6359399557113647
log_sigma,1,2,0.4649297893047333,0.18906770646572113,0.6075066328048706,0.6121717095375061
log_sigma,1,2,0.5284090042114258,0.23602324724197388,0.5708684325218201,0.5768665671348572
log_sigma,1,2,0.6005553603172302,0.2924765646457672,0.5531969666481018,0.5616156458854675
log_sigma,1,2,0.6825522184371948,0.3594135344028473,0.528290867805481,0.5337137579917908
log_sigma,1,2,0.7757444977760315,0.43759262561798096,0.4694456160068512,0.48355740308761597
log_sigma,1,2,0.8816608190536499,0.5274598002433777,0.4491194188594818,0.4410625398159027
log_sigma,1,2,1.0020384788513184,0.6290942430496216,0.4262548089027405,0.43592825531959534
log_sigma,1,2,1.1388518810272217,0.7421982884407043,0.37240496277809143,0.37668997049331665
log_sigma,1,2,1.2943450212478638,0.8661344647407532,0.33925530314445496,0.34562748670578003
log_sigma,1,2,1.4710685014724731,1.0,0.34183943271636963,0.3438352644443512
log_sigma,1,3,0.031633540987968445,0.0009999875910580158,0.9275672435760498,0.9541367888450623
log_sigma,1,3,0.03595263138413429,0.0012914647813886404,0.9253204464912415,0.9102482199668884
log_sigma,1,3,0.04086142033338547,0.0016677641542628407,0.9321597218513489,0.9393584728240967
log_sigma,1,3,0.04644044116139412,0.002153530716896057,0.9098268747329712,0.911161482334137
log_sigma,1,3,0.052781183272600174,0.002780495211482048,0.8959602117538452,0.88805091381073
log_sigma,1,3,0.059987667948007584,0.003589533269405365,0.8701329231262207,0.8963296413421631
log_sigma,1,3,0.06817809492349625,0.004633348435163498,0.805773138999939,0.8127596974372864
log_sigma,1,3,0.0774867832660675,0.005979322362691164,0.8123537302017212,0.8046483397483826
log_sigma,1,3,0.0880664512515068,0.007714332081377506,0.8148173689842224,0.7858715653419495
log_sigma,1,3,0.10009060800075531,0.009949231520295143,0.7994688749313354,0.7899956703186035
log_sigma,1,3,0.11375648528337479,0.01282587368041277,0.7924774885177612,0.7442101836204529
log_sigma,1,3,0.12928824126720428,0.016524694859981537,0.7510575652122498,0.7351731657981873
log_sigma,1,3,0.14694061875343323,0.02127472683787346,0.7490924000740051,0.7328267097473145
log_sigma,1,3,0.16700315475463867,0.027364419773221016,0.7136142253875732,0.697759747505188
log_sigma,1,3,0.18980495631694794,0.03515515476465225,0.71812903881073,0.7480140924453735
log_sigma,1,3,0.21571995317935944,0.04509562999010086,0.7092549204826355,0.7273017764091492
log_sigma,1,3,0.24517332017421722,0.05773649364709854,0.6827256679534912,0.6707322597503662
log_sigma,1,3,0.2786480486392975,0.073743537068367,0.7130094170570374,0.715861976146698
log_sigma,1,3,0.3166932761669159,0.09390784054994583,0.6602546572685242,0.6752267479896545
log_sigma,1,3,0.3599330186843872,0.11914696544408798,0.6664119362831116,0.69951331615448
log_sigma,1,3,0.4090765118598938,0.1504938006401062,0.6466234922409058,0.6541202664375305
log_sigma,1,3,0.4649297893047333,0.18906770646572113,0.6925473809242249,0.6892542839050293
log_sigma,1,3,0.5284090042114258,0.23602324724197388,0.6222599148750305,0.6091161966323853
log_sigma,1,3,0.6005553603172302,0.2924765646457672,0.5861733555793762,0.6049623489379883
log_sigma,1,3,0.6825522184371948,0.3594135344028473,0.5979192852973938,0.5992259383201599
log_sigma,1,3,0.7757444977760315,0.43759262561798096,0.5537326335906982,0.511364221572876
log_sigma,1,3,0.8816608190536499,0.5274598002433777,0.5486541390419006,0.5692440867424011
log_sigma,1,3,1.0020384788513184,0.6290942430496216,0.5148953199386597,0.5084772706031799
log_sigma,1,3,1.1388518810272217,0.7421982884407043,0.4929765462875366,0.4961421489715576
log_sigma,1,3,1.2943450212478638,0.8661344647407532,0.479912668466568,0.48697948455810547
log_sigma,1,3,1.4710685014724731,1.0,0.44477134943008423,0.44947999715805054
log_sigma,2,0,0.031633540987968445,0.0009999875910580158,0.9528440833091736,0.9151798486709595
log_sigma,2,0,0.03595263138413429,0.0012914647813886404,0.9153817296028137,0.9180005788803101
log_sigma,2,0,0.04086142033338547,0.0016677641542628407,0.9133021831512451,0.9196831583976746
log_sigma,2,0,0.04644044116139412,0.002153530716896057,0.8935361504554749,0.9710485339164734
log_sigma,2,0,0.052781183272600174,0.002780495211482048,0.9000169038772583,0.9360256791114807
log_sigma,2,0,0.059987667948007584,0.003589533269405365,0.8658744692802429,0.8683108687400818
log_sigma,2,0,0.06817809492349625,0.004633348435163498,0.843375027179718,0.8686933517456055
log_sigma,2,0,0.0774867832660675,0.005979322362691164,0.8362991213798523,0.8221744298934937
