training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,runtime_device,mean_error,covariance_error,posterior_width_ratio,theta_map_squared_error,observation_map_squared_error,sliced_wasserstein
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,2,2,1,0.023618653998710215,0.03149153866494695,cuda,0.3114929795265198,0.6912155151367188,2.4566633701324463,2600.476806640625,69.54881286621094,0.39653465151786804
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,2,2,0,0.06321163603570312,0.0842821813809375,cuda,0.34874746203422546,0.3988233804702759,1.9325956106185913,2596.76611328125,68.02596282958984,0.29808712005615234
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,2,2,1,0.045321822981350124,0.06042909730846683,cuda,0.3050307333469391,0.3955395221710205,1.9251983165740967,2584.62841796875,70.01165771484375,0.281576544046402
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,2,2,0,0.09491274098400027,0.12655032131200036,cuda,0.320861279964447,0.3184656500816345,1.7520489692687988,2576.443603515625,70.71868896484375,0.2551707625389099
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,2,2,1,0.0961859819944948,0.12824797599265972,cuda,0.2831811308860779,0.30567318201065063,1.7236381769180298,2571.255859375,71.0384750366211,0.22861140966415405
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,2,2,0,0.2346281420905143,0.3128375227873524,cuda,0.27317607402801514,0.20181208848953247,1.488829255104065,2589.50732421875,69.6434555053711,0.194735586643219
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,2,2,1,0.23944805189967155,0.3192640691995621,cuda,0.23490244150161743,0.1880061775445938,1.4681936502456665,2557.18994140625,71.44446563720703,0.17469388246536255
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,2,2,0,0.4691963359946385,0.625595114659518,cuda,0.2403641939163208,0.1528300791978836,1.369470477104187,2588.84130859375,68.30128479003906,0.17374445497989655
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,2,2,1,0.4790358520112932,0.6387144693483909,cuda,0.2884196639060974,0.21219606697559357,1.5059940814971924,2579.19921875,70.26925659179688,0.2003622055053711
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,2,2,0,0.022654691943898797,0.030206255925198395,cuda,0.36033809185028076,0.8896945714950562,2.614551067352295,2591.8779296875,70.60245513916016,0.4331068992614746
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,2,2,1,0.024834046023897827,0.0331120613651971,cuda,0.2553662061691284,0.7980372309684753,2.50868558883667,2602.817626953125,70.37589263916016,0.38080736994743347
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,2,2,0,0.05045043595600873,0.06726724794134498,cuda,0.30608758330345154,0.3876776397228241,1.8381142616271973,2595.79052734375,67.87958526611328,0.25930193066596985
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,2,2,1,0.04698868899140507,0.06265158532187343,cuda,0.2963706851005554,0.3150377869606018,1.72573983669281,2581.81396484375,71.56209564208984,0.24261967837810516
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,2,2,0,0.10475394199602306,0.13967192266136408,cuda,0.3061152398586273,0.21564649045467377,1.5198458433151245,2581.865234375,69.22268676757812,0.21630831062793732
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,2,2,1,0.11013984296005219,0.14685312394673625,cuda,0.2840939462184906,0.21660931408405304,1.5140974521636963,2591.215576171875,68.0381088256836,0.20136533677577972
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,2,2,0,0.23669608205091208,0.3155947760678828,cuda,0.27581697702407837,0.17194099724292755,1.4143956899642944,2579.0732421875,69.73048400878906,0.18830445408821106
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,2,2,1,0.23576923098880798,0.31435897465174395,cuda,0.21775785088539124,0.18954239785671234,1.4402332305908203,2562.980224609375,69.04763793945312,0.16518062353134155
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,100,2,2,0,0.4926520820008591,0.6568694426678121,cuda,0.21561455726623535,0.1416344940662384,1.3236730098724365,2575.9375,69.52159881591797,0.15342454612255096
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,100,2,2,1,0.48165647010318935,0.6422086268042525,cuda,0.26135239005088806,0.17611165344715118,1.4182933568954468,2561.467041015625,70.687744140625,0.18279515206813812
