training_scheme,sigma_m,diffusion_time,relative_score_rmse_median,relative_score_rmse_lo,relative_score_rmse_hi,scaled_score_rmse_median,scaled_score_rmse_lo,scaled_score_rmse_hi
uniform,0.04086142033338547,0.0016677641542628407,0.9916652739048004,0.9308188140392304,1.0191152691841125,0.9695513248443604,0.9373923182487488,0.9883010029792786
uniform,0.04644044116139412,0.002153530716896057,0.9906309843063354,0.9140073299407959,1.0038316071033477,0.9900992512702942,0.9536560773849487,1.0228715181350707
uniform,0.052781183272600174,0.002780495211482048,0.9625512957572937,0.9090829312801361,1.0333521842956543,0.9869672954082489,0.9332730948925019,1.014595377445221
uniform,0.059987667948007584,0.003589533269405365,0.9743754863739014,0.8912681877613068,0.9958094596862793,0.9722578227519989,0.8948763191699982,1.0230917453765869
uniform,0.06817809492349625,0.004633348435163498,0.9413770139217377,0.8627472221851349,0.9588704526424408,0.9440881609916687,0.8790364563465118,0.9673821806907654
uniform,0.0774867832660675,0.005979322362691164,0.9550547897815704,0.8597551643848419,0.9765831887722015,0.9420485198497772,0.8490401029586792,1.0275930762290955
uniform,0.0880664512515068,0.007714332081377506,0.9291165471076965,0.8506628572940826,0.9495065033435821,0.9145377278327942,0.8153061509132385,0.9479962170124054
uniform,0.10009060800075531,0.009949231520295143,0.9204711318016052,0.8306720912456512,0.9392114877700806,0.9111950993537903,0.82600536942482,0.9419763505458831
uniform,0.11375648528337479,0.01282587368041277,0.898097813129425,0.8000439643859864,0.9069344282150269,0.8606825470924377,0.7993208765983582,0.8846485316753387
uniform,0.12928824126720428,0.016524694859981537,0.8762750923633575,0.7916512548923492,0.8903204262256622,0.8705952763557434,0.7925710141658783,0.880459588766098
uniform,0.14694061875343323,0.02127472683787346,0.8662546575069427,0.7799128532409668,0.8764672696590423,0.8727136552333832,0.7626826941967011,0.8844769120216369
uniform,0.16700315475463867,0.027364419773221016,0.8385188579559326,0.744004362821579,0.8861916720867157,0.8331897258758545,0.736359030008316,0.8598189651966095
uniform,0.18980495631694794,0.03515515476465225,0.8235277533531189,0.7100225389003754,0.8365738749504089,0.8280733525753021,0.7012464284896851,0.841500437259674
uniform,0.21571995317935944,0.04509562999010086,0.7827941477298737,0.73574178814888,0.7902520716190338,0.7753384411334991,0.7471296906471252,0.8228594183921814
uniform,0.24517332017421722,0.05773649364709854,0.7610335052013397,0.6870666086673737,0.7879725933074951,0.7765295505523682,0.6826488733291626,0.8085333287715912
uniform,0.2786480486392975,0.073743537068367,0.7517392039299011,0.7238135814666748,0.7612958550453186,0.7380554378032684,0.7240048170089721,0.7610019326210022
uniform,0.3166932761669159,0.09390784054994583,0.7200309038162231,0.6745867908000946,0.7364871680736542,0.7357834279537201,0.6872166156768799,0.7494332194328308
uniform,0.3599330186843872,0.11914696544408798,0.6900684237480164,0.6736589312553406,0.6959044277668,0.6848913431167603,0.6535692989826203,0.7062239706516266
uniform,0.4090765118598938,0.1504938006401062,0.6220009922981262,0.6016420662403107,0.6540074288845062,0.6263564229011536,0.5904661774635315,0.6615898370742798
uniform,0.4649297893047333,0.18906770646572113,0.6053101718425751,0.5571655690670013,0.6988263666629791,0.6157958209514618,0.5611817300319671,0.6955034613609314
uniform,0.5284090042114258,0.23602324724197388,0.5820062458515167,0.5344027876853943,0.6300913453102112,0.5656203627586365,0.5552733898162842,0.6167821764945984
uniform,0.6005553603172302,0.2924765646457672,0.5643935203552246,0.5052493333816528,0.6119201719760895,0.5746575891971588,0.5176974833011627,0.6091168880462646
uniform,0.6825522184371948,0.3594135344028473,0.5345529913902283,0.4574360966682434,0.5937822937965394,0.5451426804065704,0.4514337629079819,0.5950799882411957
uniform,0.7757444977760315,0.43759262561798096,0.5040823072195053,0.43232501745224,0.5525139153003693,0.4902708977460861,0.46616571545600893,0.5676931083202362
uniform,0.8816608190536499,0.5274598002433777,0.48612959682941437,0.38863524198532107,0.5555947005748749,0.49223287403583527,0.39427761137485506,0.5679489433765411
uniform,1.0020384788513184,0.6290942430496216,0.4551199972629547,0.3686828225851059,0.5123575150966644,0.45787036418914795,0.41132971942424773,0.5147240817546844
uniform,1.1388518810272217,0.7421982884407043,0.41429503262043,0.3160985320806503,0.48336088061332705,0.4118712842464447,0.3023249924182892,0.48582561910152433
uniform,1.2943450212478638,0.8661344647407532,0.39585767686367035,0.2799665331840515,0.48391309976577757,0.3981485664844513,0.2624458521604538,0.49103884398937225
uniform,1.4710685014724731,1.0,0.38614422082901,0.24658986181020737,0.4635597199201584,0.3842245042324066,0.2523618876934052,0.46846725344657897
