bias,centered_rmse,comparison,correlation,mae,mask,problem,rmse,timesteps
-4.470348358154297e-07,5.118716966306468e-07,current_vs_upstream,0.9999999999998327,4.917383193969727e-07,posterior,banana,6.795975119466412e-07,200
-0.5732877565457535,0.5634024919054005,current_vs_analytic,0.7968284048087881,0.659341689485931,posterior,banana,0.8037917763267287,500
-0.5732874212696266,0.5634025288722009,upstream_vs_analytic,0.7968283791004389,0.6593414436167713,posterior,banana,0.8037915631092238,500
-3.3527612686157227e-07,4.514215725571248e-07,current_vs_upstream,0.9999999999998646,3.7997961044311523e-07,posterior,banana,5.623090941939713e-07,500
-0.40929983777990353,0.6288103409659781,current_vs_analytic,0.5609537023255656,0.5799583030701025,likelihood,banana,0.7502858136153215,10
-0.409299182128811,0.6288103392609644,upstream_vs_analytic,0.5609537332671835,0.5799579901457175,likelihood,banana,0.7502854545123494,10
-6.556510925292969e-07,4.3392836387637365e-07,current_vs_upstream,0.9999999999997932,6.556510925292969e-07,likelihood,banana,7.86239263908441e-07,10
-0.7051023267029763,0.6390666914350781,current_vs_analytic,0.5530075950893567,0.7701534577787323,likelihood,banana,0.9516173218388408,50
-0.7051018796681405,0.6390667213273933,upstream_vs_analytic,0.5530075261055596,0.770153204458992,likelihood,banana,0.9516170106821804,50
-4.470348358154297e-07,4.369878261868709e-07,current_vs_upstream,0.9999999999997994,4.917383193969727e-07,likelihood,banana,6.251387883246848e-07,50
-0.7130677275179864,0.6394883178760583,current_vs_analytic,0.5526712656004364,0.7762734838903351,likelihood,banana,0.9578156882864343,100
-0.7130674071430207,0.6394883168587772,upstream_vs_analytic,0.5526712488068173,0.7762732380211754,likelihood,banana,0.9578154490968197,100
-3.203749656677246e-07,4.4647569258745414e-07,current_vs_upstream,0.9999999999997875,3.948807716369629e-07,likelihood,banana,5.495276723678641e-07,100
-0.7150203756808282,0.6395950019945587,current_vs_analytic,0.5525850636709061,0.7777748503864212,likelihood,banana,0.9593413908589435,200
-0.7150198764919282,0.6395950219085558,upstream_vs_analytic,0.5525850378753255,0.7777744555056496,likelihood,banana,0.9593410320781335,200
-4.991888999938965e-07,5.2930594202612e-07,current_vs_upstream,0.9999999999997022,5.289912223815918e-07,likelihood,banana,7.275674114068569e-07,200
