likelihood_std,mean_error_sigma,n_observations,prior_std,repeat,runtime_seconds,std_ratio,variant
0.5,0.022105667740106583,2,0.3,0,0.4983952238690108,1.0182914733886719,DPM-2 + Gaussian + damping
0.5,0.04317966476082802,2,0.3,0,0.648167084204033,1.0253022909164429,DPM-2 + hybrid (no damping)
0.5,0.05514182150363922,2,0.3,0,0.530277332989499,1.0414152145385742,DPM-2 + hybrid damping
0.5,0.1011861264705658,5,0.3,0,0.4135770029388368,0.9762179255485535,DPM-2 + damping
0.5,0.017654184252023697,5,0.3,0,0.49647923302836716,1.0175623893737793,DPM-2 + Gaussian + damping
0.5,0.029768891632556915,5,0.3,0,0.5666571299079806,1.034427285194397,DPM-2 + hybrid (no damping)
0.5,0.06772460043430328,5,0.3,0,0.5005661870818585,1.0547735691070557,DPM-2 + hybrid damping
0.5,0.3112604022026062,10,0.3,0,0.4135030680336058,0.941437840461731,DPM-2 + damping
0.5,0.01355538796633482,10,0.3,0,0.4957253038883209,1.0289065837860107,DPM-2 + Gaussian + damping
0.5,0.18370230495929718,10,0.3,0,0.5722146912012249,1.0581092834472656,DPM-2 + hybrid (no damping)
0.5,0.1719917207956314,10,0.3,0,0.497925081057474,1.0856952667236328,DPM-2 + hybrid damping
0.5,0.07816392928361893,25,0.3,0,0.41472764196805656,0.9638311862945557,DPM-2 + damping
0.5,0.020825380459427834,25,0.3,0,0.5012182109057903,1.0149378776550293,DPM-2 + Gaussian + damping
0.5,0.054645098745822906,25,0.3,0,0.5750391189940274,1.0530484914779663,DPM-2 + hybrid (no damping)
0.5,0.04582153633236885,25,0.3,0,0.49944516899995506,1.0922248363494873,DPM-2 + hybrid damping
0.5,0.11850609630346298,50,0.3,0,0.4101267878431827,0.9869463443756104,DPM-2 + damping
0.5,0.027744388207793236,50,0.3,0,0.516980058979243,1.0030736923217773,DPM-2 + Gaussian + damping
0.5,0.07495491206645966,50,0.3,0,0.5945230750367045,1.0694317817687988,DPM-2 + hybrid (no damping)
0.5,0.11899921298027039,50,0.3,0,0.5022797689307481,1.075462818145752,DPM-2 + hybrid damping
0.5,0.07476131618022919,100,0.3,0,0.41558343498036265,1.0129549503326416,DPM-2 + damping
0.5,0.04381151497364044,100,0.3,0,0.4937386680394411,1.0106775760650635,DPM-2 + Gaussian + damping
0.5,0.09003888815641403,100,0.3,0,0.5714692189358175,1.092819333076477,DPM-2 + hybrid (no damping)
0.5,0.11703595519065857,100,0.3,0,0.5083580508362502,1.102940320968628,DPM-2 + hybrid damping
0.5,0.03747714310884476,1,0.3,1,0.40661210706457496,1.0134732723236084,DPM-2 + damping
0.5,0.01524648629128933,1,0.3,1,0.46274483017623425,0.9989585280418396,DPM-2 + Gaussian + damping
0.5,0.012889781035482883,1,0.3,1,0.5384050258435309,1.019763708114624,DPM-2 + hybrid (no damping)
0.5,0.03310844302177429,1,0.3,1,0.47173885512165725,1.0051605701446533,DPM-2 + hybrid damping
0.5,0.02816775068640709,2,0.3,1,0.41212404193356633,0.9894311428070068,DPM-2 + damping
0.5,0.013709226623177528,2,0.3,1,0.5088895710650831,1.023144245147705,DPM-2 + Gaussian + damping
0.5,0.022518010810017586,2,0.3,1,0.571125942049548,1.0013701915740967,DPM-2 + hybrid (no damping)
0.5,0.03351747244596481,2,0.3,1,0.5045653129927814,1.0219967365264893,DPM-2 + hybrid damping
0.5,0.055248867720365524,5,0.3,1,0.42162884189747274,0.9526374340057373,DPM-2 + damping
0.5,0.006711495574563742,5,0.3,1,0.4959565340541303,1.02543306350708,DPM-2 + Gaussian + damping
0.5,0.05164073780179024,5,0.3,1,0.5845677161123604,1.0373958349227905,DPM-2 + hybrid (no damping)
0.5,0.023240821436047554,5,0.3,1,0.49881985899992287,1.0575382709503174,DPM-2 + hybrid damping
0.5,0.19512902200222015,10,0.3,1,0.4100488449912518,0.9492138624191284,DPM-2 + damping
0.5,0.01639927364885807,10,0.3,1,0.49236874212510884,1.0187208652496338,DPM-2 + Gaussian + damping
