n_observations,repeat,method,parameter,parameter_index,truth,analytic_map,analytic_std,estimate
5,0,old_score,local,1,-0.20269550383090973,-0.43280041217803955,0.3277930021286011,-0.3850378394126892
5,0,old_score,local,2,0.17038607597351074,-0.1409706026315689,0.3277930021286011,-0.09477363526821136
5,0,old_score,local,3,0.18143399059772491,0.2787041962146759,0.32779303193092346,0.32264959812164307
5,0,old_score,local,4,0.6675403118133545,0.22494320571422577,0.3277930021286011,0.2691771686077118
5,0,old_score,local,5,0.34766513109207153,0.30232909321784973,0.3277930021286011,0.34614843130111694
5,0,joint_score,global,0,0.06815804541110992,0.4128090441226959,0.27321159839630127,0.44216981530189514
5,0,joint_score,local,1,-0.20269550383090973,-0.43280041217803955,0.3277930021286011,-0.45408955216407776
5,0,joint_score,local,2,0.17038607597351074,-0.1409706026315689,0.3277930021286011,-0.16379965841770172
5,0,joint_score,local,3,0.18143399059772491,0.2787041962146759,0.32779303193092346,0.2536604404449463
5,0,joint_score,local,4,0.6675403118133545,0.22494320571422577,0.3277930021286011,0.20018331706523895
5,0,joint_score,local,5,0.34766513109207153,0.30232909321784973,0.3277930021286011,0.27716130018234253
